WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
1910003,CITY OF ARCADIA,DISTRICT 22 - ANGELES,LOS ANGELES,44738,13557,N/A,34.0997362,-118.0046562,Have not applied
1910108,CITY OF BELL GARDENS,DISTRICT 15 - METROPOLITAN,LOS ANGELES,11292,1652,N/A,33.922981,-118.1128622,Have not applied
4810001,CITY OF BENICIA,DISTRICT 04 - SAN FRANCISCO,SOLANO,28000,9798,N/A,38.0523428,-122.1531834,Have not applied
3010002,CITY OF BREA,DISTRICT 08 - SANTA ANA,ORANGE,45629,12939,N/A,33.9170664,-117.8889229,Have not applied
4110002,CITY OF BRISBANE,DISTRICT 17 - SANTA CLARA,SAN MATEO,3197,1280,N/A,37.6868336,-122.4025787,Have not applied
1010003,CITY OF CLOVIS,DISTRICT 12 - VISALIA,FRESNO,120891,37474,N/A,36.8329323,-119.6880532,Have not applied
810001,CITY OF CRESCENT CITY,DISTRICT 01 - KLAMATH,DEL NORTE,14000,3939,N/A,41.7537607,-124.1963732,Have not applied
5710001,CITY OF DAVIS,DISTRICT 09 - SACRAMENTO,YOLO,70963,17273,N/A,38.549071,-121.7308218,Have not applied
4810009,CITY OF DIXON,DISTRICT 04 - SAN FRANCISCO,SOLANO,9037,2938,N/A,38.444992,-121.8161806,Have not applied
4110024,CITY OF EAST PALO ALTO,DISTRICT 17 - SANTA CLARA,SAN MATEO,29519,3882,N/A,37.4723329,-122.1405745,Have not applied
3010069,CITY OF FOUNTAIN VALLEY,DISTRICT 08 - SANTA ANA,ORANGE,59227,16849,N/A,33.7119619,-117.9309872,Have not applied
1010006,CITY OF FOWLER,DISTRICT 23 - FRESNO,FRESNO,6600,1920,N/A,36.6302712,-119.6772129,Have not applied
1010007,CITY OF FRESNO,DISTRICT 11 - MERCED,FRESNO,541990,136972,N/A,36.7666207,-119.7876132,Have not applied
3010010,CITY OF FULLERTON,DISTRICT 08 - SANTA ANA,ORANGE,141863,31328,N/A,33.8707767,-117.9294312,Have not applied
3010062,CITY OF GARDEN GROVE,DISTRICT 08 - SANTA ANA,ORANGE,174226,34086,N/A,33.7623579,-117.9261702,Have not applied
4310004,CITY OF GILROY,DISTRICT 17 - SANTA CLARA,SANTA CLARA,57315,15220,N/A,37.0069796,-121.5595224,Have not applied
2910001,CITY OF GRASS VALLEY,DISTRICT 09 - SACRAMENTO,NEVADA,4947,2486,N/A,39.2191483,-121.0611449,Have not applied
110006,CITY OF HAYWARD,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,151600,34756,N/A,37.6709785,-122.0856974,Have not applied
3010053,CITY OF HUNTINGTON BEACH,DISTRICT 08 - SANTA ANA,ORANGE,201000,54117,N/A,33.6864033,-117.9958725,Have not applied
1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,6151,1864,N/A,34.0205301,-117.9523361,Have not applied
310001,CITY OF JACKSON,DISTRICT 10 - STOCKTON,AMADOR,4686,2185,N/A,38.347489,-120.7730223,Have not applied
3010018,CITY OF LA HABRA,DISTRICT 08 - SANTA ANA,ORANGE,63118,13966,N/A,33.9259823,-117.9523361,Have not applied
3910015,CITY OF LATHROP,DISTRICT 10 - STOCKTON,SAN JOAQUIN,26833,7963,N/A,37.8040196,-121.3039397,Have not applied
3110004,CITY OF LINCOLN,DISTRICT 02 - LASSEN,PLACER,49317,19576,N/A,38.8935084,-121.2918721,Have not applied
5110001,CITY OF LIVE OAK,DISTRICT 21 - VALLEY,SUTTER,8912,2413,N/A,39.2755039,-121.6604642,Have not applied
